index,PM_US Post,DEWP,HUMI,PRES,TEMP,Iws,precipitation,Iprec,cbwd_SW,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_cv,season_1,season_2,season_3,season_4
2013-01-01 00:00:00,145.0,-1.1459657643734205,0.24305307932945538,-0.0972302580396993,-1.388384336016566,0.08748213623625303,-0.09241991292091588,-0.1139287089567539,-0.7282961612148272,0,0,1,0,0,0,0,1
2013-01-01 01:00:00,150.0,-1.0742802715944346,0.5070902771233622,-0.0972302580396993,-1.388384336016566,0.14524499584841985,-0.09241991292091588,-0.1139287089567539,-0.7282961612148272,0,0,1,0,0,0,0,1
2013-01-01 02:00:00,65.5909090909091,-1.002594778815449,0.5166667557998255,-0.0972302580396993,-1.3154402016439697,0.23188928526667008,-0.09241991292091588,-0.1139287089567539,-0.7282961612148272,0,0,1,0,0,0,0,1
2013-01-01 03:00:00,142.0,-0.9309092860364632,0.7998569109466582,-0.0972302580396993,-1.3154402016439697,-0.5767907493036654,0.06743720420199352,-0.07033159113361045,-0.7282961612148272,0,0,0,1,0,0,0,1
2013-01-01 04:00:00,105.0,-1.0742802715944346,0.7843521359466704,-0.0972302580396993,-1.4613284703891622,-0.5479093194975819,-0.09241991292091588,-0.1139287089567539,-0.7282961612148272,0,1,0,0,0,0,0,1
2013-01-01 05:00:00,154.0,-1.0742802715944346,1.0871512712405467,-0.0972302580396993,-1.5342726047617588,-0.5767907493036654,-0.09241991292091588,-0.1139287089567539,-0.7282961612148272,1,0,0,0,0,0,0,1
2013-01-01 06:00:00,176.0,-1.0742802715944346,1.0871512712405467,-0.0972302580396993,-1.5342726047617588,-0.5190278896914985,-0.09241991292091588,-0.1139287089567539,1.3729956288679221,0,0,0,0,0,0,0,1
2013-01-01 07:00:00,140.0,-1.2176512571524063,0.48793731977043614,0.11099679316789049,-1.5342726047617588,-0.46126503007933173,-0.09241991292091588,-0.1139287089567539,-0.7282961612148272,0,1,0,0,0,0,0,1
2013-01-01 08:00:00,93.0,-1.2176512571524063,0.48793731977043614,0.21511031877168538,-1.5342726047617588,-0.3457393108549981,-0.09241991292091588,-0.1139287089567539,-0.7282961612148272,0,1,0,0,0,0,0,1
2013-01-01 09:00:00,53.0,-1.2176512571524063,0.48793731977043614,0.3192238443754803,-1.5342726047617588,-0.25909502143674784,-0.09241991292091588,-0.1139287089567539,-0.7282961612148272,0,1,0,0,0,0,0,1
2013-01-01 10:00:00,23.0,-1.5043932282683492,-0.2699725640524889,0.4233373699792752,-1.607216739134355,-0.05692501279416401,-0.09241991292091588,-0.1139287089567539,-0.7282961612148272,0,1,0,0,0,0,0,1
